D_COD_CLIENTE	D_FANTASIA	D_RAZAO_SOCIAL	D_ENDERECO	D_GEOPOLITICO	D_DOCUMENTO	D_COD_PRODUTO	D_DESCRICAO	M_QUANTIDADE
5207	MEGA GELADO DIST.	WILSON BRAZ SALES	RUA EXPEDITO FRANCISCO DA SILVA, 713	DR.SILVIO LEITE                         	148441	5155	EXPOSITOR DE GARRAFAO 12X1              	1
14474	MERCANTIL GOIANO	WALTERLEY DA SILVA CARDOSO ME	AV. BRILHO DO SOL, 668	RAIAR DO SOL                            	628815-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
3468	DISK GÁS E ÁGUA PARAVIANA	WALBER TAVARES	AV. SEVERINO SOARES FREITAS, 2498	PARAVIANA                               	30782	5155	EXPOSITOR DE GARRAFAO 12X1              	1
7339	RESTAURANTE KILINHO	W. C. L.  DA SILVA ME	AV. PRESIDENTE CASTELO BRANCO, 2799	SAO VICENTE                             	205384	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
7339	RESTAURANTE KILINHO	W. C. L.  DA SILVA ME	AV. PRESIDENTE CASTELO BRANCO, 2799	SAO VICENTE                             	205762	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
6244	W W F.DISTRIBUIDORA	W S FERREIRA ME	RUA R-20, 36	CIDADE SATELITE                         	206244	504	EXPOSITOR DE GARRAFAO 18X1              	1
3569	COMERCIAL SR DO BONFIM	VICENTE LIMA BONFIM	RUA DOS TANGARAIS, 207	13 DE SETEMBRO                          	296323	5155	EXPOSITOR DE GARRAFAO 12X1              	1
14944	ANA VITORIA	VERISSIMA CAVALCANTE BARBALHO & CIA LTDA	AV. SAO PAULO, 782	BAIRRO DOS ESTADOS                      	655062-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
9348	PARICARANA	VERDESOL COMERCIO SERVIÇOS E NEOCIOS LTDA ME	RUA ANA CECILIA MOTA DA SILVA, 413	JARDIM FLORESTA                         	93481	5219	EXPOSITOR DE GARRAFAO 6X1               	1
949	RESTAURANTE TULIPA	VENZEL E CIA LTDA EPP	AV. MAJOR WILLIANS, 1373	CENTRO                                  	151475	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
7341	CTG	VENICIUS ALEXANDRO WANDERLEY ZAMBERLAN	AV. VENEZUELA, 2216	MECEJANA                                	233698	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
5036	PANIF PRIMAVERA	VALDERICO PEREIRA DA SILVA - ME	RUA PEDRO RODRIGUES, 1395	MECEJANA                                	50361	5155	EXPOSITOR DE GARRAFAO 12X1              	1
2329	AÇOUGUE BOI BOM 2	V. L. S. DA SILVA ME	RUA IZÍDIO GALDINO DA SILVA, 1777	SEN.HELIO CAMPOS                        	22144	5155	EXPOSITOR DE GARRAFAO 12X1              	1
7834	DIST.NUNES	THIAGO NUNES RODRIGUES	AV. SÃO SEBASTIÃO, 840	ASA BRANCA                              	252118	504	EXPOSITOR DE GARRAFAO 18X1              	1
13483	HIPER DB 	SUPERMERCADOS DB LTDA 	AV. CAP JULIO BEZERRA, 2118	APARECIDA                               	633765-1	504	EXPOSITOR DE GARRAFAO 18X1              	2
13483	HIPER DB 	SUPERMERCADOS DB LTDA 	AV. CAP JULIO BEZERRA, 2118	APARECIDA                               	625061-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
13483	HIPER DB 	SUPERMERCADOS DB LTDA 	AV. CAP JULIO BEZERRA, 2118	APARECIDA                               	590076-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
13483	HIPER DB 	SUPERMERCADOS DB LTDA 	AV. CAP JULIO BEZERRA, 2118	APARECIDA                               	625061-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
13483	HIPER DB 	SUPERMERCADOS DB LTDA 	AV. CAP JULIO BEZERRA, 2118	APARECIDA                               	633765-1	504	EXPOSITOR DE GARRAFAO 18X1              	2
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	644456-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
